,Company/Brand,Amount($),Year of Funding
1127,MYFITNESS,1000000.0,2021
1126,MYBYK,1000000.0,2021
1283,NimbleBox.ai,1000000.0,2021
1257,Navia Life Care,1000000.0,2021
1193,Mindler,1000000.0,2021
1650,SeeVC,1000000.0,2021
626,Fanball XI,1000000.0,2020
75,AnKa SumMor,1000000.0,2021
138,Aviom Housing Finance,1000000.0,2021
1137,Manch Technologies,1000000.0,2021
895,Ideal Insurance Brokers/ 121Policy.com,1000000.0,2018
168,Bandhoo,1000000.0,2021
1227,Muvin,1000000.0,2021
156,BHIVE Investech,1000000.0,2020
639,Fedo,1000000.0,2020
596,Excess2Sell,1000000.0,2020
600,Express Stores,1000000.0,2021
1864,The Hosteller,1000000.0,2021
1237,MyNewCar.in,1000000.0,2018
885,IBSFINtech,1000000.0,2021
1641,Say Cheese,1000000.0,2021
1642,Scale Labs,1000000.0,2018
1245,NFTically,1000000.0,4042
2094,WoodenStreet,1000000.0,2020
603,ExtraaEdge,1000000.0,2021
637,Fashor,1000000.0,2020
1842,TaxBuddy.com,1000000.0,2020
2125,Yu Foodlabs,1000000.0,2021
442,Cyclops Medtech,1000000.0,2018
1801,SuperMoney,1000000.0,2020
849,HeyHolidays,1000000.0,2018
1879,Thingsup,1000000.0,2021
2192,immunitoAI,1000000.0,2021
549,Edyoo,1000000.0,2018
1005,Kiko Live,1000000.0,2021
108,Arthya Wealth and Investments,1000000.0,2021
715,Fuel Buddy,1000000.0,2021
1745,Spoonshot,1000000.0,2020
1064,LearnVern,1000000.0,2021
714,Froogal,1000000.0,2020
1067,Legal Salah,1000000.0,2020
1395,Pencil,1000000.0,2021
776,Godamwale,1000000.0,2021
392,Countingwell,1000000.0,2020
1539,Raskik,1000000.0,2020
537,Easiloan,1000000.0,2021
2003,Verandah,1000000.0,2021
1428,Pipa+Bella,1000000.0,2018
1749,Sports Flashes Pvt. Ltd,1000000.0,2018
1432,Pixuate,1000000.0,2021
422,Crofarm,1000000.0,2020
1032,Kredent,1000000.0,2021
1931,TurboHire,1000000.0,4041
1037,Krishitantra,1000000.0,2020
437,CuriousJr,1000000.0,2021
753,Gig India,1000000.0,2020
101,Arata,1000000.0,2020
2203,moEVing,1000000.0,2021
560,Elixia Tech Solutions,1000000.0,2021
1759,Sreyas Holistic Remedies,1000000.0,2020
1510,QuaQua,1000000.0,2020
1959,Unlu,1000000.0,2021
558,Elemential,1000000.0,2018
225,Blive,1000000.0,2021
1755,Sqrrl Fintech,1000000.0,2018
789,GrayQuest,1000000.0,2020
1544,ReadyAssist,1000000.0,2021
2179,goSTOPS,1000000.0,2021
1584,Rubix108 Technologies,1000000.0,2018
217,Bizlog,1000000.0,2020
820,HappyEMI,1000000.0,2018
824,Hapramp,1000000.0,2020
1167,Medpho,1000000.0,2021
1312,ONGO Framework,1000000.0,2018
836,HealthAssure,1000000.0,2018
1585,RuleZero,1000000.0,2021
39,AdmitKard,1000000.0,2021
843,HempStreet,1000000.0,2020
1124,MSMEx,1000000.0,2021
1125,MY CHIRAAG CAB,1000000.0,2018
674,Fleek,1000000.0,2021
672,Flatheads,1000000.0,4042
1302,Now&Me,1000000.0,2021
1573,Rockclimber,1000000.0,2021
1104,Locale.ai,1000000.0,2021
1716,SmartKarrot,1000000.0,2020
117,Assiduus,1000000.0,2020
1078,LetsMD,1000000.0,2018
2012,Vidyakul,1000000.0,4042
1550,Refrens,1000000.0,2020
192,BhaskarGuru,1000000.0,2018
1900,Totality,1000000.0,2021
1729,Solethreads,1000000.0,2021
2019,Vista Rooms,1000000.0,2021
528,ERPNext,1000000.0,2020
1898,Toppersnotes,1000000.0,2021
2173,eJOHRI,1000000.0,2020
692,Forbidden Foods,1000000.0,2020
526,EM3 Agri,1000000.0,2020
814,Hakuna Matata,1000000.0,2021
477,Devic Earth,1000000.0,2021
935,Innerchef,1000000.0,2020
754,GigIndia,971000.0,2020
1235,MyLoanCare,949000.0,2018
230,BlueJack,934400.0,2018
534,Earth Food,934400.0,2018
421,Crio,934000.0,2020
1142,MasterChow,922000.0,4042
993,Kazam,900000.0,2021
98,Aqgromalin,900000.0,4041
1991,Vanity Wagon,900000.0,4042
158,BIGPHI TECHNOLOGIES PVT. LTD.,900000.0,2018
922,Inficold,900000.0,2021
1404,PerkFinance,900000.0,2018
1007,Kirana King,900000.0,2020
1844,TeaMonk,900000.0,2020
1901,Tracxn,887000.0,2020
690,FoodBuddy,876000.0,2018
1072,Lendbox,876000.0,2018
319,Chara,850000.0,2021
2198,leap.club,810000.0,2021
413,CreditMantri,803146.0,2020
801,Guiddoo World,800000.0,2018
1783,Studio Sirah,800000.0,2021
352,Clientjoy,800000.0,2020
1583,Rubix Data Sciences,800000.0,2021
940,Insane AI,800000.0,2021
1887,Tinkerly,800000.0,2021
1270,NeuroPixel.AI,800000.0,2021
825,Haqdarshak,800000.0,2021
1530,RaRa Delivery,800000.0,2020
728,GUVI,800000.0,2020
1812,Suryoday,800000.0,2020
1813,Svami,800000.0,2020
1800,SuperK,800000.0,2021
1509,Qoohoo,800000.0,2021
411,Credit Mantri,792000.0,2020
806,Guvi Geek Network Pvt Ltd,786000.0,2020
1516,QuickShift,770000.0,2021
2123,YourOwnROOM,750000.0,2018
110,Artium Academy,750000.0,2021
743,GenieTalk,750000.0,2020
584,Ethereum Push Notification Service,750000.0,2020
1495,Pulse,750000.0,2020
1742,Spintly,748000.0,4041
142,Avishkaar Box,730000.0,2018
2182,i2ifunding,730000.0,2018
309,Cashkumar,730000.0,2018
1153,Med365 Healthcare,730000.0,2018
880,Hyperdata.IO,730000.0,2018
1009,KiranaKart,720000.0,2021
1027,Koparo,700000.0,2021
2017,Virtual MetalStreet(MetalStreet),700000.0,2018
1537,Raptee Energy,700000.0,2021
398,Crater.Club,700000.0,2021
2175,eShipz,700000.0,2021
770,GoSats,700000.0,2021
1830,TagMango,700000.0,2020
618,Fabriclore,700000.0,2021
2168,bitsCrunch,700000.0,2021
602,Extra Edge,700000.0,2020
238,Bolo Indya,700000.0,4040
171,BankSathi,700000.0,4042
921,Infeedo,700000.0,2020
1230,MyDentalPlan,700000.0,2021
1176,MergerDomo,697000.0,4041
137,Aviom,682000.0,2020
1304,NuNu TV,670000.0,2020
449,Daalchini,669000.0,2020
877,Hush - Speak Up. Make Work Better,657000.0,2018
329,ChitMonks,650000.0,2020
1211,Mojro Technologies,650000.0,2018
1367,PaisaDukan,650000.0,2018
1858,Text Mercato,649600.0,2020
640,FeedMyPockets,642400.0,2018
762,Go Desi,627300.0,2020
367,CoffeeMug.ai,620000.0,2021
1147,Max wholesale,603000.0,2020
2208,qZense,600000.0,2020
1229,MyClassboard,600000.0,2020
33,Acculi Labs,600000.0,2020
1916,Tripeur,600000.0,2018
766,GoBumpr,600000.0,2018
943,Inspektlabs,600000.0,2020
198,BigLeap,600000.0,2021
691,FoodyBuddy,600000.0,2020
388,Cora Health,600000.0,4042
819,HappyCredit,600000.0,2021
141,Avishkaar,600000.0,2021
478,Devnagri,600000.0,2021
86,Anveshan,600000.0,4041
290,Capital Quotient,600000.0,2020
812,Habitat,600000.0,2020
1070,Legitquest,600000.0,2021
1597,SAWO Labs,600000.0,2020
342,ClanConnect,600000.0,2020
17,ABL Workspaces,600000.0,2021
1587,RupeeCircle,584000.0,2018
297,Career Anna,584000.0,2018
454,Dainik Jagran,584000.0,2018
817,Happy Cow Dairy,584000.0,2018
1938,UClean,584000.0,2018
737,GamingMonk,584000.0,2018
983,Kaagaz Scanner,575000.0,2020
521,D’Moksha Homes,570000.0,2021
283,Callify.ai,560000.0,2020
1024,Kolo,550000.0,2021
1145,Mate Labs,550000.0,2018
785,Gradeup,546000.0,2020
803,GullyBuy Software,543000.0,2020
1930,Tummoc,540000.0,2021
1956,Universal Sportsbiz,530000.0,2020
2181,hoi foods,525600.0,2018
1703,Sleepy Owl Coffee,511000.0,2018
346,CleanseCar,511000.0,2018
932,Inner Being Wellness,511000.0,2018
509,Droni Tech,511000.0,2018
1476,Printline Media(ThePrint),509540.0,2018
1478,ProEves,507000.0,2020
1069,Legalwiz.in,500000.0,2021
1215,Monet Networks,500000.0,2020
166,Bambinos,500000.0,2021
1669,Shirsa Labs,500000.0,2018
434,CureSkin,500000.0,2020
898,Imagimake,500000.0,4042
1220,MoooFarm,500000.0,2020
1442,Playto Labs,500000.0,2021
1231,MyDentistChoice,500000.0,2018
51,Agricxlab Private Limited,500000.0,2018
670,FlashPrep,500000.0,2021
1686,Simulanis,500000.0,2018
429,Cube Wealth,500000.0,2020
310,Celcius,500000.0,4042
1950,UnboxRobotics Labs,500000.0,2020
460,DcodeAI,500000.0,2021
1868,The New Shop,500000.0,2020
1594,SALT,500000.0,2021
658,Firescore,500000.0,2020
1592,RuralBasket,500000.0,2020
1569,RiseBird,500000.0,2021
1557,Remedico,500000.0,2021
1638,Satyukt,500000.0,2020
313,Cellestial,500000.0,2021
508,DronaHQ,500000.0,2018
1847,TechEagle,500000.0,2021
1492,Propshop24,500000.0,2018
1643,Scapic,500000.0,2018
1480,Probus,500000.0,2021
887,IGL,500000.0,2021
176,Beco,500000.0,2021
1441,Playo,500000.0,2021
2070,Wholesome Habits (EAT Anytime),500000.0,2018
870,Hubhopper,500000.0,4039
2058,Wealthtrust,500000.0,2018
2041,Wagonfly,500000.0,2020
55,AgroWave,500000.0,2020
822,HappyLocate,500000.0,2020
2038,WINDO,500000.0,2021
538,EasyAspataal,500000.0,2021
1734,Spaciya Consultants,500000.0,2020
1787,Stylework,500000.0,2021
340,Clairco,500000.0,2021
532,EarnWealth,500000.0,2021
1349,Openapp,500000.0,2020
1036,Krimanshi Feeds,500000.0,2020
2205,myHQ,500000.0,2018
1796,Super Surfaces,500000.0,2020
1876,TheCollegeFever,500000.0,4036
205,BimaPe,500000.0,2021
1264,Neokred,500000.0,2021
128,Automovill,500000.0,2021
1810,Supplynote,500000.0,2020
1811,Survaider,500000.0,2018
301,Carmesi,496400.0,2018
848,Hey Deedee,481800.0,2018
384,Consure Medical,480000.0,2020
1119,MCaffeine,467200.0,2018
1785,StyleDotMe,467000.0,2020
778,GoldenPi,459000.0,2020
174,Be U Salons,438000.0,2018
1034,Kriger Campus,438000.0,2018
131,AvalonMeta,420000.0,2020
2076,Wiingy,400000.0,2021
2145,Zingavita,400000.0,2021
683,Flo Mobility,400000.0,2021
1314,ORAI,400000.0,2021
693,ForeignAdmits,400000.0,2021
1243,NCOME,400000.0,2020
958,IsGoingOnline,400000.0,4042
124,Auntie Fung,400000.0,2021
1546,Reccy Adventures,400000.0,2021
1175,Mera Cashier,400000.0,4040
1391,Pedagogy,400000.0,2020
1174,Mentza,400000.0,2021
818,Happy Jars,400000.0,2021
396,Cover it Up,400000.0,2020
2109,Xpresslane,400000.0,2021
127,AutomataPi,400000.0,2021
1934,Tvasta,400000.0,2021
1426,PingoLearn,400000.0,4042
779,Gonuts,400000.0,2020
901,Imstrong,400000.0,2020
2112,YPay,400000.0,2021
381,Comofi Medtech,400000.0,4042
1364,O’ Be Cocktails,400000.0,2021
231,BlueLearn,400000.0,2021
1750,Spottabl,400000.0,2021
721,Fyllo,400000.0,2021
1735,Spardha,400000.0,2021
1747,SportZchain,400000.0,2021
1798,SuperBottoms,400000.0,2021
1087,Lil’ Goodness and sCool meal,400000.0,2020
2171,dishq,400000.0,2018
606,Ezstays,400000.0,2021
1780,Strip Finance,400000.0,2021
1815,Svish,400000.0,2021
1154,MedCords,385440.0,2018
1423,Picxy,380000.0,4038
1420,Pickright Technologies,375000.0,4041
1271,Neverinstall,370000.0,2021
1653,Sensibull,365000.0,2018
805,GuruQ,365000.0,2018
565,Emflux Motors,364846.0,2018
1863,The Health company,350000.0,2020
255,BricSpaces,350000.0,2021
2124,YourPhysio,350000.0,2021
450,Daily Ninja,349800.0,2020
2073,WickedGud,340000.0,2021
969,Jidoka Technologies,340000.0,2021
1978,Uvi Health,330000.0,2021
1396,Pencilton,330000.0,2021
1327,Oga,330000.0,2020
1777,Streak,328500.0,2018
1520,Quintype Technologies,325000.0,2020
439,CustomerGlu,320000.0,2021
734,GameEon Studios,320000.0,2021
809,Habbit,320000.0,2021
1399,Pepper,306900.0,2020
1259,Near Store,300000.0,2020
324,ChefKart,300000.0,2021
386,Convin,300000.0,2021
2000,VenWiz,300000.0,2021
1052,Lancify,300000.0,2020
328,Chirrup,300000.0,2021
1695,SkilloVilla,300000.0,2021
2195,ixamBee,300000.0,2021
747,Genrobotics,300000.0,2020
1484,Prodo,300000.0,2021
1835,Tamasha.live,300000.0,2020
914,Indic Inspirations,300000.0,2021
1427,PinkBlue,300000.0,2018
749,GeoIQ,300000.0,2020
1681,Silversparro Technologies Pvt. Ltd,300000.0,2018
1077,LetsDressUp,300000.0,2021
1659,Shadez,300000.0,4041
1503,QShala,300000.0,2020
2188,iMumz,300000.0,2021
1501,PurpleTutor,300000.0,2021
579,Equiwatt,300000.0,2020
1448,Plutomen,300000.0,2021
572,Ensuredit,300000.0,2020
957,Inzpira,300000.0,2021
568,Endimension,300000.0,2021
1627,Sapio Analytics,300000.0,6062
1733,SpEd@home,300000.0,2021
2207,peAR,300000.0,2021
543,Edmingle,300000.0,2021
1542,ReDesyn,300000.0,2021
157,BHyve,300000.0,2021
223,Blaer Motors,300000.0,2021
2069,Whiz League,300000.0,2021
544,EduFund,300000.0,2021
1535,Rapawalk,300000.0,2020
1090,Little Leap,300000.0,2021
855,HobSpace,300000.0,4041
653,Finsall,300000.0,2021
1357,Ourbetterplanet,300000.0,2021
662,Fitpage,300000.0,2021
872,Huddle,300000.0,2018
354,CloudFiles,300000.0,2021
470,Deepsync,300000.0,2020
1575,Rocketium,292000.0,2018
1055,Lavelle Networks,292000.0,2018
1063,LearnApp,292000.0,2018
525,EGK Foods,292000.0,2018
1152,MechMocha,292000.0,2020
245,Bonphul Air Products,292000.0,2018
323,Chariot Tech,292000.0,2018
1443,Playtoome,292000.0,2018
955,Invento Robotics,281300.0,2020
1983,VTION,280320.0,2018
1517,Quicko,280000.0,2020
215,BiteSpeed,275000.0,2020
457,Data Sutram,266500.0,2020
2001,Vendor Infra,265000.0,2021
73,Ameliorate Biotech,264000.0,2020
1403,Perfora,260000.0,2021
643,Filo,260000.0,2021
807,Gyde,250000.0,2021
800,Gugu,250000.0,2018
1044,Kuvera.in,250000.0,2018
669,Fixpocket,250000.0,2018
982,KIWI,250000.0,2021
960,Jade Forest,250000.0,2020
745,Genius Corner,250000.0,2020
1491,Propelld,250000.0,2018
1572,Roadcast,250000.0,2018
928,Infurnia,240000.0,2020
752,GetWork,240000.0,4041
1022,Kohbee,235000.0,2021
1917,Tripshelf,233600.0,2018
420,Crimson Healthcare,229800.0,2020
2118,Yodacart,225000.0,2021
492,DocSumo,220000.0,2020
1843,Tea Trunk,220000.0,2020
2167,arzooo.com,219000.0,2018
105,Arogya MedTech,219000.0,2018
573,Enthu.ai,200000.0,2021
791,Green Soul,200000.0,2021
1173,Mentoria,200000.0,2021
1909,Trendlyne Technologies,200000.0,2018
1014,Klassroom,200000.0,2021
65,Aldopay,200000.0,2018
1358,OwO,200000.0,2021
466,Deciwood,200000.0,2021
942,Inspacco,200000.0,2021
19,AFK Gaming,200000.0,2020
642,Fieldproxy,200000.0,2021
569,Enercomp,200000.0,2021
475,Design X,200000.0,2020
1574,Rocket Skills,200000.0,2021
2170,byteXL,200000.0,2021
834,HealWell24,200000.0,2018
2061,Wellcure,200000.0,2020
20,AMPM,200000.0,2021
842,Hemp Horizons,200000.0,2021
488,Disruptium,200000.0,2021
66,AlgoBulls,200000.0,2020
235,Boingg,200000.0,2021
1255,Nap Chief,200000.0,2021
252,Braingroom,200000.0,2021
756,Glamplus,200000.0,2021
1806,Supersourcing,200000.0,2021
1662,Shape (School Health and Physical Education),200000.0,2018
524,EF Polymer,200000.0,2021
233,Bluepad,200000.0,2021
897,Illumnus,200000.0,4040
1488,Prolgae,200000.0,2021
594,Ewar,200000.0,2020
605,EzeRx,200000.0,2020
1671,ShopMyLooks,200000.0,2021
2089,Wobb,200000.0,2021
1667,ShipsKart,200000.0,2020
929,InfyU Labs,200000.0,2021
1377,ParkSmart,198000.0,4041
2086,Witblox,182700.0,2020
1299,Notesgen,182500.0,2018
808,Haazri,182500.0,2018
1664,Shiksha,181000.0,2020
1004,Kidovators (by GyanLab),180000.0,2018
1378,Parkwheels,175200.0,2018
1120,MEngage,175000.0,2018
1855,Tessol,160000.0,2020
863,Homversity,155000.0,2021
646,Fincash.com,150000.0,2018
1862,The Gourmet Jar,150000.0,2021
2130,ZFW Hospitality,150000.0,2021
530,EV Plugs,150000.0,2021
1825,TRDR,150000.0,2021
771,GoTo,150000.0,2021
1841,Tattva,150000.0,2020
1172,MentorKart,150000.0,2021
916,IndigoLearn,150000.0,2018
1186,Mihuru,150000.0,2018
1130,MadGuy Labs,150000.0,2018
1224,Multibashi,146000.0,2018
2096,Workflexi,146000.0,2018
333,Chtrbox,146000.0,2018
2037,WHR,143145.0,2018
971,JobSquare,140500.0,2020
972,Jobsgaar,140000.0,2021
1859,ThatMate,140000.0,2021
2211,truMe,140000.0,2020
635,Fasal,140000.0,4038
1409,PetSutra,138700.0,2018
468,DeepSync,136000.0,2020
1568,Ripsey,133000.0,2020
1696,Skippi Ice Pops,130000.0,2021
1242,Myra,127750.0,2018
1619,Samaaro,125000.0,2021
483,DigiConnectt Technologys,125000.0,2018
1884,Tilt,125000.0,2021
1356,OurEye.ai,120000.0,2020
2143,ZiffyHomes,120000.0,2018
567,Enakshi,116800.0,2018
1927,TrulyMadly Matchmakers,110000.0,2020
1824,TECHBOOZE,100000.0,2018
1808,Supply6,100000.0,2021
1384,Paymatrix,100000.0,2018
1056,Lawyered,100000.0,2020
1498,Puresh Daily,100000.0,2021
1990,Valuationary,100000.0,2021
520,Dybo,100000.0,2021
1928,TrustCheckr,100000.0,2018
1268,Nestroots,100000.0,2021
1976,UrbanMatrix Technologies,100000.0,2021
270,Buyofuel,100000.0,2021
1475,PrestLoans,100000.0,2018
1232,MyGameMate,100000.0,2020
438,Cusmat,100000.0,2021
1474,Prescribe,100000.0,2020
1961,UnoTag,100000.0,2018
1628,Sarathi,100000.0,2021
1177,Mestastop Solutions,100000.0,2021
1016,Knackit,100000.0,2021
481,Dhurnia,100000.0,2020
700,FreeStand,100000.0,2021
949,IntelleWings,100000.0,2021
338,CivilCops,100000.0,2018
1030,Krayonnz,100000.0,2020
464,DebugsBunny,100000.0,2020
896,Idha Skin Clinic,73000.0,2018
1039,Kuants,73000.0,2018
1894,Tolet for Students,73000.0,2018
968,Jetbrain Robotics,70000.0,2018
1325,Odwen,54000.0,2020
671,Flathalt,50000.0,2018
1431,Pixr8,50000.0,2018
1500,Purple Style Labs,43000.0,2020
1479,ProPhysio,40900.0,2020
767,GoGaga,40000.0,2018
989,Karfa,25000.0,2020
325,Chezuba,20440.0,2018
2077,Wimoxez,20000.0,2018
2027,Vizzbee,20000.0,2018
1905,Traveo Soft Pvt. Ltd.,17520.0,2018
109,Articbot,17520.0,2018
2166,artbandhu,15000.0,2018
1163,Medicus,12700.0,2020
1845,Teach Us,12700.0,2020
1214,Monech,12700.0,2020
126,AuthMetrik,10000.0,2018
759,Glii,10000.0,2021
1212,Mombay,7500.0,2018
85,Antariksh Waste Ventures Pvt ltd,7300.0,2018
527,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,2920.0,2018
1279,Next Digital Solutions,1460.0,2018
345,Classworks India,1460.0,2018
1393,Peel Works,42.23,2020
1596,SATYA Microcapital,9.6,2020
991,Karkinos Healthcare,0.0,2021
484,DigiSparsh,0.0,2021
286,CanPe,0.0,2021
595,ExMyB,0.0,2021
1011,Kissan Pro,0.0,2021
1045,Kwik Foods,0.0,2021
78,Anar Business Community,0.0,2021
1701,Slang Labs,0.0,2021
1797,SuperBeings,0.0,2021
623,FanAnywhere,0.0,4042
2158,Zouk,0.0,2021
1040,Kudos,0.0,2021
570,Enguru,0.0,2021
1728,Sochcast,0.0,2021
1736,Spark Studio,0.0,2021
2209,saarthi.ai,0.0,2021
2155,Zorgers,0.0,2021
210,Biocraft Innovation Technology,0.0,2021
2201,mHealth,0.0,2021
1054,Lavado,0.0,2021
67,Almo,0.0,2021
50,Agri10x,0.0,2021
1657,Settlrs,0.0,2021
994,Keeros,0.0,2021
617,Fable Fintech,0.0,2021
616,Fabheads,0.0,2021
1068,LegalPay,0.0,4042
1632,SatSure,0.0,2021
1065,Leegality,0.0,2021
1860,The Ayurveda Co,0.0,2021
1872,The Switch Fix,0.0,2021
659,Firmway,0.0,2021
1062,Learn4o Technology,0.0,2021
152,AyuRythm,0.0,2021
1676,Shumee,0.0,2021
975,Juicy chemistry,0.0,2021
1602,SMOOR,0.0,2021
1058,LeadSquared,0.0,2021
1566,Rezo.ai,0.0,2021
852,Hike,0.0,2021
952,Intervue,0.0,2021
82,Answer Genomics,0.0,2021
322,Chargeup,0.0,2021
1247,NIRAMAI,0.0,2021
883,Hyreo,0.0,2021
60,Aisle,0.0,2021
1390,PeakPerformer,0.0,2021
1256,Navars,0.0,2021
1387,PazCare,0.0,2021
878,Hypd Store,0.0,2021
874,Humit,0.0,2021
1380,PayCardo,0.0,2021
1379,Pathfndr.io,0.0,2021
380,CommerceUp,0.0,2021
237,Bolkar,0.0,2021
173,BatteryPool,0.0,2021
2024,Vitra.ai,0.0,2021
1343,Onelife Nutriscience,0.0,2021
1342,Onelife,0.0,2021
362,Codedamn,0.0,2021
2068,Wherehouse.io,0.0,2021
1341,Oneiric Gaming,0.0,2021
361,CoRover,0.0,2021
1282,Nimble Growth Organics,0.0,2021
169,BangDB,0.0,2021
2060,Wellbeing Nutrition,0.0,2021
2045,Wallmantra,0.0,2021
2048,WaterScience,0.0,2021
862,Homingos,0.0,2021
104,Arcatron Mobility,0.0,2021
1975,UrbanKisaan,0.0,2021
2101,Wright Research,0.0,2021
1183,MicroDegree,0.0,2021
83,AntWak,0.0,2021
1158,MedPrime Technologies,0.0,2021
299,CareerNinja,0.0,2021
704,Frenzi,0.0,2021
91,ApnaKlub,0.0,2021
725,GODI Energy,0.0,2021
1513,Qube Health,0.0,2021
1919,TruNativ,0.0,2021
2135,Zenpay Solutions,0.0,2021
1289,NirogGyan,0.0,2021
1181,MetroRide,0.0,2021
930,Ingenium,0.0,2021
732,GalaxEye,0.0,2021
1968,Upgame,0.0,2021
742,Genext Students,0.0,2021
1937,TyrePlex,0.0,2021
907,Indi Energy,0.0,2021
32,Accio Robotics,0.0,2021
1472,PrepBytes,0.0,2021
1462,Powerhouse91,0.0,2021
100,Aquatein,0.0,2021
1455,Polygon,0.0,2021
130,Avalon Labs,0.0,2021
1452,Pocketly,0.0,2021
102,Arbo Works,0.0,2021
1228,My3DSelfie,0.0,2021
1511,Quali55Care,0.0,2021
