,Company/Brand,Amount($),Year of Funding
2015,Virohan,5800000.0,6062
685,FloCareer,5700000.0,2021
1707,Slintel,5700000.0,4040
601,Exprs,5660000.0,2020
1277,Newton School,5650000.0,4041
1386,Paytm money,5600000.0,2020
1973,Urban Ladder,5600000.0,2018
550,Eggoz,5504200.0,8079
472,Defy,5500000.0,2021
2075,Wiggles.in,5500000.0,2021
1206,Mobile Premier League (MPL),5500000.0,4038
2199,m.Paani,5500000.0,2020
1041,Kuku FM,5500000.0,2020
1139,MarketWolf,5500000.0,2021
2162,Zvesta,5500000.0,2020
1672,ShopSe,5500000.0,2021
1892,Toffee Insurance,5500000.0,2020
257,Brighteye Ventures,5400000.0,2020
522,E42,5400000.0,2021
514,Drum Food,5305000.0,2020
913,Indian School Finance Company,5271000.0,2020
1199,Mitron,5267000.0,4040
146,Awign Enterprises,5230000.0,6058
365,CodingNinjas,5200000.0,2020
1463,Powerplay,5200000.0,2021
58,Airblack,5200000.0,2021
144,Awifs,5200000.0,2020
1689,Siply,5200000.0,6063
148,Axio Biosolutions,5200000.0,2020
934,InnerHour,5200000.0,2021
924,Infinite Uptime,5100000.0,2020
2007,Vernacular ai,5100000.0,2020
911,IndiaLends,5100000.0,2021
1370,Pandorum,5060000.0,2020
2049,WayCool,5060000.0,2020
551,EkAnek,5040000.0,2020
1362,Oziva,5000000.0,2020
1114,Lucideus,5000000.0,2018
1253,Nalanda Learning,5000000.0,2021
1097,Livve Homes,5000000.0,2021
591,Even,5000000.0,2021
1099,Loadshare,5000000.0,2018
562,Elucidata,5000000.0,2021
1924,Truemeds,5000000.0,2021
2006,Verloop.io,5000000.0,2020
1617,SalaryFits,5000000.0,2020
385,ConveGenius,5000000.0,2021
1789,SucSEED Indovation,5000000.0,2020
14,90+ My Tuition App,5000000.0,2021
2148,ZipLoan,5000000.0,4040
1444,Plix,5000000.0,2021
1877,TheHouseMonk,5000000.0,2021
986,Kale Logistics,5000000.0,2021
5,21K School,5000000.0,2021
1089,Lio,5000000.0,2021
657,Fireflies .ai,5000000.0,2020
175,BeatO,5000000.0,2021
2185,iChamp,5000000.0,2018
2008,Verzeo,5000000.0,2018
1201,MoEVing,5000000.0,2021
599,Exponent Energy,5000000.0,2021
2034,Voxelgrids,5000000.0,2021
1971,Upwards Fintech,5000000.0,2018
1159,MedTel Healthcare,5000000.0,2021
1882,Tickertape,5000000.0,2021
1756,SquadStack,5000000.0,2020
780,Good Health Clinic,5000000.0,2021
2146,Zingbus,5000000.0,4042
2102,Wysa,5000000.0,4042
917,Indusface,5000000.0,2020
893,IVF Access,5000000.0,2020
1652,SenseHawk,5000000.0,2020
815,HalaPlay Technologies,5000000.0,2018
1772,StockGro,5000000.0,2021
1363,Ozonetel,5000000.0,2021
1524,R for Rabbit,5000000.0,2021
2127,Yumlane,5000000.0,4038
2206,myUpchar,5000000.0,2018
1531,Racetrack,4993200.0,2018
1405,Perpule,4964000.0,2018
1381,PayGlocal,4900000.0,2021
1290,NirogStreet,4800000.0,6059
677,Flexmoney,4800000.0,2021
1207,Mobileware Technologies,4700000.0,2021
621,FamPay,4700000.0,2020
890,ION Energy,4641000.0,4039
407,Credable,4500000.0,2020
847,HexaHealth,4500000.0,2021
792,Greenjoules,4500000.0,2021
339,Clair,4500000.0,2020
1410,Petpooja,4500000.0,2021
2098,Wow Express,4500000.0,2018
965,Jar,4500000.0,2021
1760,Stack,4500000.0,2021
552,Eka.care,4500000.0,2021
1945,Ultraviolette Automotive,4410876.0,6058
675,Fleetx,4402400.0,4040
1240,Myglamm,4327000.0,2020
397,Craftsvilla,4309000.0,4040
1922,TrueFan,4300000.0,2020
736,Gamezop,4300000.0,2020
1720,Smartstaff,4300000.0,2021
64,Akudo,4200000.0,4042
698,Foyr,4200000.0,2018
1400,Pepper Content,4200000.0,2020
2202,mfine,4200000.0,2018
1246,NIRA,4100000.0,6058
16,9stacks,4088000.0,2018
1980,VLCC Health Care,4000000.0,2021
1913,Tricog Health Services Pvt Ltd,4000000.0,2018
953,Inthree Access,4000000.0,2018
1639,Saveo,4000000.0,2021
2104,XYXX Apparels,4000000.0,2021
905,IncNut Digital,4000000.0,2020
1528,REVOS,4000000.0,2021
1820,Synapsica,4000000.0,2021
2133,Zebu,4000000.0,2020
1414,Phi Commerce,4000000.0,2021
1616,SalaryBox,4000000.0,2021
884,I am Love,4000000.0,2021
936,Innov8 Coworking,4000000.0,2018
2093,Wooden Street,4000000.0,4038
1814,Svasti Microfinance,4000000.0,2021
1179,Metadome,4000000.0,2021
2055,WeSkill,4000000.0,2021
353,Clinikk,4000000.0,2021
1049,LIVSPACE,4000000.0,2020
348,ClearDekho,4000000.0,2021
816,Hansel.io,4000000.0,2018
984,Kaar Technologies,4000000.0,2021
1727,SoOLEGAL,4000000.0,2020
358,Cloudphysician,4000000.0,2021
1565,Revfin,4000000.0,2021
2063,Wellthy Therapeutics,4000000.0,2020
99,Aquaconnect,4000000.0,2021
536,Easebuzz,4000000.0,2021
1106,Locobuzz,4000000.0,2021
1108,Locus.sh,4000000.0,2018
1093,LivQuik Technology,4000000.0,2021
746,Genius Teacher,4000000.0,4040
360,Clovia,4000000.0,2020
1746,Sporjo,4000000.0,4042
1267,Nestasia,4000000.0,2021
1803,SuperZop,4000000.0,2021
2190,iNurture Education,4000000.0,2020
588,Eupheus,4000000.0,2021
1296,NoPaperForms Solutions Pvt. Ltd.,3980000.0,2018
2126,Yulu,3964000.0,2020
687,Flyrobe,3854400.0,2018
1483,Procol,3823000.0,2020
755,Gigforce,3804000.0,4041
1804,Superplum,3800000.0,2021
2119,Yojak,3800000.0,2021
1140,Marquee Equity,3800000.0,2021
1704,SleepyCat,3800000.0,2021
1435,Planet11 eCommerce Solutions India (Avenue11),3796000.0,2018
1654,Sequretek,3700000.0,2018
256,Brick&Bolt,3700000.0,4040
265,BuildSupply,3650000.0,2018
1457,Portea Medical,3650000.0,2018
1422,Picture TIme,3650000.0,2018
1371,Pandorum Technologies,3600000.0,2018
1151,Mech Mocha,3530000.0,2018
2087,Wiz Freight,3500000.0,2021
1910,Tribe Theory,3500000.0,2020
773,Goals101,3500000.0,2018
