Company/Brand,Sector,Stage,Amount ($),HeadQuarter,What it does,Year of Funding,Amount(USD)
Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,1700000.0,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018, 
Pooltoo,Transportation,Seed,0.0,New Delhi,Pooltoo offers a premium ride sharing platform.,2018,NUL
Finzy,"Financial Services, Lending",Seed,1300000.0,Bangalore,finzy is the premier peer to peer lending solution in India.,2018, 
Fitternity,"Fitness, Health Care, Wellness",Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018, 
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,0.0,Pune,Building an Intelligent Digital Assistant.,2018,NUL
Tolet for Students,Hospitality,Seed,,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,INR
Chai Kings,"Food and Beverage, Tea",Seed,,Chennai,Chai Kings is a tea retail chain,2018,INR
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,,Kanpur,Dainik Jagran is a media and communications group.,2018,INR
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,,Bengaluru,Playtoome is a live entertainment destination,2018,INR
ONGO Framework,"B2B, Information Services, Information Technology",Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018, 
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,INR
Arogya MedTech,"Health Care, Medical",Seed,,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,INR
Propshop24,E-Commerce,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018, 
myUpchar,"Health Care, Hospital, Wellness",Series A,5000000.0,New Delhi,To bring health issues to people in their language.,2018, 
MissMalini Entertainment,—,Seed,,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,INR
Rooter,Sports,Seed,,India,Rooter is a mobile-based platform,2018,INR
ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,13400000.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018, 
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Seed,0.0,Bengaluru,Advancing AI compute,2018,NUL
MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018, 
