,Amount($),Year of Funding,Founded,Company/Brand,Sector,Stage,HeadQuarter,What it does,Founders
54,182500.0,2018,2015,Notesgen,EdTech,Seed,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,Undefined
55,219000.0,2018,2015,Arogya MedTech,Health Care,Seed,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,Undefined
56,500000.0,2018,2015,Propshop24,E-Commerce,Seed,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",Undefined
57,5000000.0,2018,2015,myUpchar,Health Care,Series A,New Delhi,To bring health issues to people in their language.,Undefined
58,1518400.0,2018,2015,MissMalini Entertainment,—,Seed,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",Undefined
59,657000.0,2018,2015,Rooter,Sports,Seed,India,Rooter is a mobile-based platform,Undefined
60,13400000.0,2018,2015,ZestMoney,Big Data,Series A,Bangalore,Zest is India's first completely automated consumer digital lending platform.,Undefined
61,110827021.4984517,2018,2015,alphaics Corporation,Cloud Computing,Seed,Bengaluru,Advancing AI compute,Undefined
62,500000.0,2018,2015,MyDentistChoice,Health Care,Seed,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,Undefined
63,110827021.4984517,2018,2015,Sattviko,Food Processing,Angel,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,Undefined
64,365000.0,2018,2015,Sensibull,Trading Platform,Seed,Bangalore,Investment Management Platform,Undefined
65,110827021.4984517,2018,2015,Bombay Shaving Company,Consumer Goods,Series A,New Delhi,Bombay Shaving Company is a Men's grooming startup,Undefined
66,385440.0,2018,2015,MedCords,Wellness,Seed,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,Undefined
67,110827021.4984517,2018,2015,University Living,Education,Seed,New Delhi,University Living is an online global student housing marketplace.,Undefined
68,110827021.4984517,2018,2015,&ME,Food and Beverage,Seed,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,Undefined
69,116800.0,2018,2015,Enakshi,Fashion,Seed,Ahmedabad,Enakshi is an online apparel brand for women.,Undefined
70,876.0,2018,2015,Ultraviolette Automotive,Automotive,Series A,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,Undefined
71,4000000.0,2018,2015,Inthree Access,Consulting,Series A,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,Undefined
72,9000000.0,2018,2015,BUGWORKS Research India,Biotechnology,Series A,Bangalore,BUGWORKS is a drug discovery company.,Undefined
73,110827021.4984517,2018,2015,Guardian.in,Health Care,Seed,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,Undefined
74,100000.0,2018,2015,PrestLoans,Credit,Seed,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",Undefined
75,20000.0,2018,2015,Wimoxez,Internet,Seed,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",Undefined
76,110827021.4984517,2018,2015,India Accelerator,Communities,Angel,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,Undefined
77,1000000.0,2018,2015,HappyEMI,Consumer,Seed,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,Undefined
78,110827021.4984517,2018,2015,Wishup,Consumer Applications,Seed,Azadpur,Premium Personal Assistance service,Undefined
79,4000000.0,2018,2015,Hansel.io,Mobile,Series A,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",Undefined
80,250000.0,2018,2015,Propelld,Education,Seed,Bengaluru,Propelld is a student education financing platform.,Undefined
81,110827021.4984517,2018,2015,PivotRoots,Advertising,Series A,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,Undefined
82,120000.0,2018,2015,ZiffyHomes,Marketplace,Seed,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,Undefined
